,소재지전체주소,사업장명,업태구분명,지역
13,서울특별시 종로구 낙원동 198 금강빌딩 ,청춘일번지,호프/통닭,낙원동
19,서울특별시 종로구 명륜2가 184 ,깊·골(SHEN XIANG),호프/통닭,명륜2가
57,서울특별시 종로구 명륜4가 11-2 ,토라 대학로점,호프/통닭,명륜4가
58,서울특별시 종로구 종로3가 132-1 ,가르텐 비어,호프/통닭,종로3가
87,서울특별시 종로구 무악동 89 경희궁 롯데캐슬 ,태성골뱅이,호프/통닭,무악동
96,서울특별시 종로구 묘동 175 이화빌딩 ,커먼 Common,호프/통닭,묘동
146,서울특별시 종로구 인사동 208-0 ,비비큐 치킨(인사점),통닭(치킨),인사동
151,서울특별시 종로구 관수동 120번지 ,호,호프/통닭,관수동
177,서울특별시 종로구 관철동 6-6 ,BHC 종로점,호프/통닭,관철동
199,서울특별시 종로구 숭인동 1368 숭인한성아펠시티 ,가마치통닭(신설동점),호프/통닭,숭인동
223,서울특별시 종로구 숭인동 201-4 ,둘둘치킨,호프/통닭,숭인동
252,서울특별시 종로구 관철동 13-9번지 ,종각 상구비어,호프/통닭,관철동
255,서울특별시 종로구 관철동 19-6 ,영구비어,호프/통닭,관철동
260,서울특별시 종로구 동숭동 1-65번지 ,백팩,호프/통닭,동숭동
281,서울특별시 종로구 익선동 106-0번지 ,포쉬(POSH),호프/통닭,익선동
297,서울특별시 종로구 송월동 60-5번지 ,로얄,호프/통닭,송월동
303,서울특별시 종로구 무악동 67-2번지 ,골든벨호프,호프/통닭,무악동
363,서울특별시 종로구 인사동 37번지 3층 ,힐링타임365,호프/통닭,인사동
384,서울특별시 종로구 혜화동 143-2번지 ,대봉수 대학로족발·보쌈,호프/통닭,혜화동
571,서울특별시 종로구 동숭동 1-35번지 지상4층 ,주주연가(대학로점),호프/통닭,동숭동
593,서울특별시 종로구 낙원동 227번지 ,그때그집,호프/통닭,낙원동
594,서울특별시 종로구 돈의동 153번지 ,하늘정원,호프/통닭,돈의동
608,서울특별시 종로구 체부동 39-2번지 지상1층 ,미락치킨 경복궁 본점,통닭(치킨),체부동
609,서울특별시 종로구 교북동 75번지 ,청수,호프/통닭,교북동
636,서울특별시 종로구 효제동 174-2 ,비비큐(BBQ) 종로 효제점,호프/통닭,효제동
639,서울특별시 종로구 명륜2가 21-18번지 지상1층 ,통큰갈비,통닭(치킨),명륜2가
675,서울특별시 종로구 돈의동 107번지 (지상1층) ,이화주막,호프/통닭,돈의동
677,서울특별시 종로구 관철동 14-3번지 ,다락방,호프/통닭,관철동
708,서울특별시 종로구 낙원동 159번지 지상1층 ,비앤비,호프/통닭,낙원동
709,서울특별시 종로구 당주동 160-0 변호사회관 지하동 1-33호,유월,호프/통닭,당주동
732,서울특별시 종로구 종로4가 59-2번지 ,테리야끼,호프/통닭,종로4가
773,서울특별시 종로구 관철동 43-7 지상2층 ,(주)참치공방 정다운지점,호프/통닭,관철동
801,서울특별시 종로구 창신동 561-2번지 ,발리호프원,호프/통닭,창신동
807,서울특별시 종로구 혜화동 167-3 ,림스치킨 혜화점,호프/통닭,혜화동
814,서울특별시 종로구 관철동 18-9 ,두껍포차 본점,호프/통닭,관철동
834,서울특별시 종로구 숭인동 313-14번지 ,계경 순대국 동묘역점,호프/통닭,숭인동
906,서울특별시 종로구 돈의동 51 ,종삼육,호프/통닭,돈의동
930,서울특별시 종로구 신문로1가 156-0 ,동성로왕찹쌀꽈배기,호프/통닭,신문로1가
983,서울특별시 종로구 혜화동 16-9 ,또봉이 통닭,호프/통닭,혜화동
999,서울특별시 종로구 사직동 304-15 ,소풍,호프/통닭,사직동
1006,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 ,부티크,호프/통닭,종로1가
1015,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 ,종로호프,호프/통닭,종로1가
1077,서울특별시 종로구 숭인동 218 ,고전 통닭,호프/통닭,숭인동
1226,서울특별시 종로구 숭인동 76 롯데캐슬상가 116호,둘둘치킨(롯데캐슬숭인점),통닭(치킨),숭인동
1236,서울특별시 종로구 명륜3가 148-1 지상1층 ,건강한빵,호프/통닭,명륜3가
1288,서울특별시 종로구 내자동 11-1번지 ,동해 남부선,호프/통닭,내자동
1304,서울특별시 종로구 관철동 18-9번지 18-8 ,맥주 이마트,호프/통닭,관철동
1320,서울특별시 종로구 효제동 217-0번지 ,슈퍼비어,호프/통닭,효제동
1341,서울특별시 종로구 창신동 464-6번지 2층 ,교촌치킨 24시 동대문1호점,통닭(치킨),창신동
1401,서울특별시 종로구 창신동 561-1 ,창신 561,호프/통닭,창신동
1423,서울특별시 종로구 신문로2가 12-5 지하1층 ,또래오래 정동점,호프/통닭,신문로2가
1484,서울특별시 종로구 묘동 100 (지상1층) ,서울88맥주,호프/통닭,묘동
1497,서울특별시 종로구 통의동 66-0 ,육회바른연어,호프/통닭,통의동
1511,서울특별시 종로구 인사동 209-0번지 ,종각역점 바른치킨,호프/통닭,인사동
1524,서울특별시 종로구 관철동 43-6번지 ,이자카야나무(종각점),호프/통닭,관철동
1533,서울특별시 종로구 낙원동 192번지 지상1~2층 ,시민식당,호프/통닭,낙원동
1535,서울특별시 종로구 통인동 147-2 지하1층 ,이서방양념치킨 효자본점,통닭(치킨),통인동
1562,서울특별시 종로구 명륜4가 46-1 ,풍년집,호프/통닭,명륜4가
1568,서울특별시 종로구 인사동 102-0번지 ,국민포차 야시장,호프/통닭,인사동
